iter	Passed	Remaining
887	1835	231
888	1837	229
889	1839	227
890	1841	225
891	1843	223
892	1845	221
893	1846	218
894	1848	216
895	1850	214
896	1852	212
897	1854	210
898	1856	208
899	1858	206
900	1860	204
901	1861	202
902	1863	200
903	1864	198
904	1866	195
905	1868	193
906	1870	191
907	1872	189
908	1874	187
909	1875	185
910	1877	183
911	1878	181
912	1880	179
913	1882	177
914	1884	175
915	1886	172
916	1887	170
917	1889	168
918	1891	166
919	1892	164
920	1894	162
921	1895	160
922	1897	158
923	1899	156
924	1901	154
925	1903	152
926	1905	150
927	1906	147
928	1908	145
929	1910	143
930	1912	141
931	1914	139
932	1916	137
933	1917	135
934	1919	133
935	1920	131
936	1922	129
937	1924	127
938	1925	125
939	1927	123
940	1929	120
941	1931	118
942	1932	116
943	1934	114
944	1935	112
945	1937	110
946	1938	108
947	1940	106
948	1943	104
949	1945	102
950	1947	100
951	1949	98
952	1950	96
953	1952	94
954	1953	92
955	1955	89
956	1957	87
957	1959	85
958	1961	83
959	1963	81
960	1965	79
961	1967	77
962	1968	75
963	1970	73
964	1972	71
965	1974	69
966	1976	67
967	1977	65
968	1979	63
969	1981	61
970	1982	59
971	1984	57
972	1986	55
973	1988	53
974	1990	51
975	1992	48
976	1993	46
977	1995	44
978	1996	42
979	1998	40
980	2000	38
981	2001	36
982	2004	34
983	2005	32
984	2007	30
985	2008	28
986	2010	26
987	2012	24
988	2014	22
989	2015	20
990	2018	18
991	2020	16
992	2021	14
993	2023	12
994	2025	10
995	2026	8
996	2028	6
997	2029	4
998	2031	2
999	2033	0
